nexus_name,species_name,common_name,frequency_of_mentions,instances_of_ssb,sampling_hours,ssb_prevalence,male_ssb,female_ssb,environment_of_ssb,mean_temp_2019,mean_precip_2019,mean_cloud_2019,mean_biomass_2019,predator_count,size_dimorphism_presence,larger_bodied_sex,median_body_size,body_size_range,lifespan,sex_ratio,median_group_size,group_structure,hierarchical_structure,mating_system,infant_rearing_strategy,imputed_mean_temp_2019,imputed_mean_precip_2019,imputed_mean_cloud_2019,imputed_mean_biomass_2019,imputed_predator_count,imputed_sexual_dimorphism,imputed_median_body_mass,imputed_bodymass_range,imputed_lifespan,imputed_adult_sex_ratio,imputed_median_group_size
Macaca_tonkeana_ott407753,Macaca_tonkeana,Tonkean macaque,1,59,367,0.160762943,29,30,Wild,25.6605312,0.007285325,0.915806084,5.121713199,10,1,M,9.5,2,NA,0.17,24,Multi-male-multi-female,Matriarchal,Polygynandrous,Maternal,25.9137741,0.005562346,0.723025846,3.38708403,23,1,22,20.6,20,0.5,20
Nasalis_larvatus_ott860954,Nasalis_larvatus,Proboscis monkey,2,3,676,0.00443787,1,2,Wild and captive,26.0445429,0.008831759,0.92802481,4.620774897,24,1,M,16,12,20,0.5,20,Single-male-multi-female,Patriarchal,Polygynous,Maternal,23.902442,0.000212054,0.58786153,5.157473817,39,0,7,0,30,1,4
Pan_paniscus_ott158484,Pan_paniscus,Bonobo,13,4334,8394,0.516321182,680,3654,Wild and captive,25.8872699,0.003469446,0.815730607,5.154400966,33,1,M,34.5,17,40,1,55,Fission-fusion,Matriarchal,Polygynandrous,Maternal,25.91079115,0.002911386,0.625306512,3.395421503,70,1,52,16,40,1,25
Pan_troglodytes_ott417950,Pan_troglodytes,Chimpanzee,5,600,2361,0.254129606,194,406,"Semi-wild, captive, wild",25.91079115,0.002911386,0.625306512,3.395421503,70,1,M,52,16,40,1,25,Fission-fusion,Patriarchal,Polygynandrous,Maternal,25.8361916,0.000668801,0.428504239,1.672448253,156,1,21.8,14.2,20,0.13,80
Papio_anubis_ott115449,Papio_anubis,Olive baboon,2,56,100,0.56,55,1,Wild,25.8361916,0.000668801,0.428504239,1.672448253,156,1,M,21.8,14.2,20,0.13,80,Multi-male-multi-female,Matriarchal,Polygynandrous,Maternal,26.497807,0.002798628,0.606414003,1.934191841,96,1,18.4,14.8,27,0.25,120
Papio_cynocephalus_ott115471,Papio_cynocephalus,Yellow baboon,2,184,603,0.305140962,104,80,Wild,26.497807,0.002798628,0.606414003,1.934191841,96,1,M,18.4,14.8,27,0.25,120,Multi-male-multi-female,Matriarchal,Polygynandrous,Maternal,22.2498863,0.000304007,0.254400428,0.522592933,101,1,15.5,11,30,0.5,105
Rhinopithecus_roxellana_ott77083,Rhinopithecus_roxellana,Golden snub-nosed monkey,5,3558,1771,2.009034444,3557,1,Captive and wild,-1.387655533,0.00104902,0.574125836,2.233522735,26,1,M,16.1,7.4,25,0.2,45,Single-male-multi-female,Patriarchal,Polygynous,Allo-parenting,5.7750793,0.006369914,0.189395274,4.396227419,23,1,13,8,23,0.5,15.31488614
Saimiri_sciureus_ott842875,Saimiri_sciureus,Common squirrel monkey,2,31,14,2.214285714,1,30,"Captive, semiwild",25.2432436,0.004951553,0.785707231,4.140414781,73,1,M,0.93,0,25,1,15,Multi-male-multi-female,Patriarchal,Polygynandrous,Allo-parenting,25.3357301,0.012309514,0.906732513,4.333203601,81,1,0.91,0.58,20,0.662741863,45
Sapajus_nigritus_ott411831,Sapajus_nigritus,Black capuchin,2,21,2496,0.008413462,20,1,Wild,25.361524,0.007181518,0.617863353,3.234314899,72,1,M,2.65,1.3,30,1,15,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,26.4526523,0.00261426,0.496862054,2.458949495,64,1,3.25,1.5,25,0.5,20
Semnopithecus_entellus_ott276589,Semnopithecus_entellus,Northern plains gray langur,3,1142,3233,0.353232292,159,983,Wild and captive,18.6116955,0.001341693,0.1124458,1.802286457,48,1,M,14.3,5.2,30,0.25,30,Fission-fusion,Patriarchal,Polygynous,Allo-parenting,10.7512239,0.003591594,0.342321147,2.693835107,84,1,12.5,0,20,0.13,18
