nexus_name,species_name,common_name,Category,ssb_presence,ssb_prevalence,mean_temp_2019,mean_precip_2019,mean_cloud_2019,mean_biomass_2019,predator_count,size_dimorphism_presence,median_body_size,body_size_range,lifespan,sex_ratio,median_group_size,group_structure,hierarchical_structure,mating_system,infant_rearing_strategy,imputed_mean_temp_2019,imputed_mean_precip_2019,imputed_mean_cloud_2019,imputed_mean_biomass_2019,imputed_predator_count,imputed_sexual_dimorphism,imputed_median_body_mass,imputed_bodymass_range,imputed_lifespan,imputed_adult_sex_ratio,imputed_median_group_size,
Alouatta_pigra_ott558066,Alouatta_pigra,Yucatan black howler,Platyrrhini,0,0,22.4113274,0.000760705,0.478220412,5.735724231,76,1,6.85,4.5,20,0.2,6,Single-male-multi-female,Patriarchal,Polygynous,Maternal,22.4113274,0.000760705,0.478220412,5.735724231,76,1,6.85,4.5,20,0.2,6,
Alouatta_sara_ott814670,Alouatta_sara,Bolivian red howler,Platyrrhini,0,0,25.5870765,0.010441053,0.87335602,4.774652543,90,1,7.5,3,22,0.2,9,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,25.5870765,0.010441053,0.87335602,4.774652543,90,1,7.5,3,22,0.2,9,
Alouatta_ululata_ott3607551,Alouatta_ululata,Maranhao red-handed howler,Platyrrhini,0,0,27.1942114,0.010322073,0.767279436,2.358135879,53,1,NA,NA,20,NA,9,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,27.1942114,0.010322073,0.767279436,2.358135879,53,1,6.194675553,2.877878386,20,0.292009521,9,
Aotus_azarae_ott1058659,Aotus_azarae,Azara's night monkey,Platyrrhini,0,0,26.43176097,0.008079693,0.769895292,3.736224658,91,0,1,0,20,1,6,Monogamous pairs,Dominant pair,Monogamous,Paternal,26.43176097,0.008079693,0.769895292,3.736224658,91,0,1,0,20,1,6,
Aotus_brumbacki_ott338636,Aotus_brumbacki,Brumback's night monkey,Platyrrhini,0,0,27.1470977,0.001332333,0.682481478,3.429990932,77,0,NA,NA,NA,1,3,Monogamous pairs,Dominant pair,Monogamous,Paternal,27.1470977,0.001332333,0.682481478,3.429990932,77,0,0.95289664,0.068850526,16.14240634,1,3,
Aotus_griseimembra_ott583084,Aotus_griseimembra,Gray-handed night monkey,Platyrrhini,0,0,26.3133158,0.00170272,0.406305166,4.506050166,83,0,1.01,0.17,11,1,4,Monogamous pairs,Dominant pair,Monogamous,Paternal,26.3133158,0.00170272,0.406305166,4.506050166,83,0,1.01,0.17,11,1,4,
Aotus_jorgehernandezi_ott3607598,Aotus_jorgehernandezi,Hernandez-Camacho's night monkey,Platyrrhini,0,0,24.3766266,0.016696592,0.763430744,5.116864443,45,0,NA,NA,NA,1,4,Monogamous pairs,Dominant pair,Monogamous,Paternal,24.3766266,0.016696592,0.763430744,5.116864443,45,0,0.95289664,0.068850526,16.14240634,1,4,
Aotus_lemurinus_ott897634,Aotus_lemurinus,Gray-bellied night monkey,Platyrrhini,0,0,16.6115721,0.007881295,0.726797238,4.846766862,90,0,1.3,0,25,1,4,Monogamous pairs,Dominant pair,Monogamous,Paternal,16.6115721,0.007881295,0.726797238,4.846766862,90,0,1.3,0,25,1,4,
Aotus_miconax_ott3607601,Aotus_miconax,Peruvian night monkey,Platyrrhini,0,0,16.344913,0.011584152,0.915729507,3.773546332,65,0,1.1,0,13,1,6,Monogamous pairs,Dominant pair,Monogamous,Paternal,16.344913,0.011584152,0.915729507,3.773546332,65,0,1.1,0,13,1,6,
Aotus_nancymaae_ott913299,Aotus_nancymaae,Nancy Ma's night monkey,Platyrrhini,0,0,24.8327525,0.010879675,0.916293208,4.544388668,78,0,0.79,0,20,1,4,Monogamous pairs,Dominant pair,Monogamous,Paternal,24.8327525,0.010879675,0.916293208,4.544388668,78,0,0.79,0,20,1,4,
Aotus_nigriceps_ott685852,Aotus_nigriceps,Black-headed night monkey,Platyrrhini,0,0,NA,NA,NA,NA,NA,0,0.81,0.13,11,1,4,Monogamous pairs,Dominant pair,Monogamous,Paternal,25.93768641,0.008740935,0.801838417,3.9482766,87.16105002,0,0.81,0.13,11,1,4,
Aotus_trivirgatus_ott791711,Aotus_trivirgatus,Three-striped night monkey,Platyrrhini,0,0,25.7199229,0.004027555,0.734392339,5.064019092,78,0,1,0.45,20,1,4,Monogamous pairs,Dominant pair,Monogamous,Paternal,25.7199229,0.004027555,0.734392339,5.064019092,78,0,1,0.45,20,1,4,
Aotus_vociferans_ott685855,Aotus_vociferans,Spix's night monkey,Platyrrhini,0,0,25.1549146,0.009077994,0.86944046,5.131660328,92,0,0.7,0,20,1,4,Monogamous pairs,Dominant pair,Monogamous,Paternal,25.1549146,0.009077994,0.86944046,5.131660328,92,0,0.7,0,20,1,4,
Aotus_zonalis_ott298340,Aotus_zonalis,Panamanian night monkey,Platyrrhini,0,0,25.6147242,0.007776013,0.6192212,4.412405124,83,0,0.9,0.03,14,1,4,Monogamous pairs,Dominant pair,Monogamous,Paternal,25.6147242,0.007776013,0.6192212,4.412405124,83,0,0.9,0.03,14,1,4,
Arctocebus_aureus_ott673376,Arctocebus_aureus,Golden angwantibo,Strepsirrhini,0,0,25.7032137,0.004846714,0.767853474,3.81941175,44,0,0.37,0.2,15,NA,1,Solitary,Egalitarian,Polygynandrous,Maternal,25.7032137,0.004846714,0.767853474,3.81941175,44,0,0.37,0.2,15,1.063769823,1,
Arctocebus_calabarensis_ott323051,Arctocebus_calabarensis,Calabar angwantibo,Strepsirrhini,0,0,26.6844172,0.003214738,0.645663969,2.74748523,50,0,0.36,0.22,15,NA,1,Solitary,Egalitarian,Polygynandrous,Maternal,26.6844172,0.003214738,0.645663969,2.74748523,50,0,0.36,0.22,15,1.063751296,1,
Ateles_belzebuth_ott791705,Ateles_belzebuth,White-bellied spider monkey,Platyrrhini,0,0,25.0018569,0.006014275,0.793788026,5.23261758,95,0,8,4,30,0.5,30,Fission-fusion,Matriarchal,Polygynandrous,Maternal,25.0018569,0.006014275,0.793788026,5.23261758,95,0,8,4,30,0.5,30,
Ateles_fusciceps_ott791687,Ateles_fusciceps,Black-headed spider monkey,Platyrrhini,1,1,24.92411395,0.011380581,0.755328133,3.586956643,74,0,8.5,1,24,0.5,20,Fission-fusion,Matriarchal,Polygynandrous,Maternal,24.92411395,0.011380581,0.755328133,3.586956643,74,0,8.5,1,24,0.5,20,
Ateles_geoffroyi_ott791691,Ateles_geoffroyi,Geoffroy's spider monkey,Platyrrhini,1,3,24.53077605,0.000993865,0.410291407,4.615659716,73,0,7.5,3,22,0.2,4,Fission-fusion,NA,Polygynandrous,Maternal,24.53077605,0.000993865,0.410291407,4.615659716,73,0,7.5,3,22,0.2,4,
Ateles_marginatus_ott3607557,Ateles_marginatus,White-cheeked spider monkey,Platyrrhini,0,0,25.0854494,0.010848017,0.845605814,4.1617595,67,0,5.8,0,22,0.33,25,Fission-fusion,Matriarchal,Polygynandrous,Maternal,25.0854494,0.010848017,0.845605814,4.1617595,67,0,5.8,0,22,0.33,25,
Ateles_paniscus_ott217258,Ateles_paniscus,Red-faced spider monkey,Platyrrhini,0,0,25.2136752,0.00473125,0.785203745,4.164725522,73,0,8.75,0.7,20,0.33,18,Fission-fusion,Matriarchal,Polygynandrous,Maternal,25.2136752,0.00473125,0.785203745,4.164725522,73,0,8.75,0.7,20,0.33,18,
Avahi_betsileo_ott3607507,Avahi_betsileo,Betsileo woolly lemur,Strepsirrhini,0,0,21.4605957,0.005955093,0.915338159,3.733980477,24,0,NA,NA,NA,1,4,Monogamous pairs,Dominant pair,Monogamous,Maternal,21.4605957,0.005955093,0.915338159,3.733980477,24,0,1.096267798,0.356950468,15.21291231,1,4,
Avahi_cleesei_ott654909,Avahi_cleesei,Bemaraha woolly lemur,Strepsirrhini,0,0,26.8101868,0.007262821,0.865914237,3.682299078,19,0,0.83,0,NA,NA,4,Monogamous pairs,Dominant pair,Monogamous,Maternal,26.8101868,0.007262821,0.865914237,3.682299078,19,0,0.83,0,16.68132867,1.000327421,4,
Avahi_laniger_ott516002,Avahi_laniger,Woolly indri,Strepsirrhini,0,0,23.3380186,0.008325475,0.921195709,4.306860839,25,0,0.95,0.7,NA,1,4,Monogamous pairs,Dominant pair,Monogamous,Maternal,23.3380186,0.008325475,0.921195709,4.306860839,25,0,0.95,0.7,15.63904969,1,4,
Avahi_meridionalis_ott3607509,Avahi_meridionalis,Southern woolly lemur,Strepsirrhini,0,0,24.2631622,0.005594698,0.853072673,3.587746724,21,0,NA,NA,NA,NA,4,Monogamous pairs,Dominant pair,Monogamous,Maternal,24.2631622,0.005594698,0.853072673,3.587746724,21,0,1.147995028,0.415455486,15.42442892,0.998920941,4,
Avahi_mooreorum_ott6145313,Avahi_mooreorum,Moore's woolly lemur,Strepsirrhini,0,0,25.4635025,0.009551052,0.909513205,5.514109166,23,0,NA,NA,NA,NA,4,Monogamous pairs,Dominant pair,Monogamous,Maternal,25.4635025,0.009551052,0.909513205,5.514109166,23,0,1.86061029,0.38578036,16.69192182,0.995057881,4,
Avahi_occidentalis_ott563621,Avahi_occidentalis,Western woolly lemur,Strepsirrhini,0,0,27.4338979,0.010757014,0.896616608,2.679976886,19,0,0.85,0.3,NA,1,4,Monogamous pairs,Dominant pair,Monogamous,Maternal,27.4338979,0.010757014,0.896616608,2.679976886,19,0,0.85,0.3,16.68610538,1,4,
Avahi_peyrierasi_ott3607508,Avahi_peyrierasi,Peyrieras's woolly lemur,Strepsirrhini,0,0,23.2603546,0.007191096,0.912707885,3.812565612,24,0,1.05,0.3,15,NA,NA,NA,NA,NA,Maternal,23.2603546,0.007191096,0.912707885,3.812565612,24,0,1.05,0.3,15,0.998649781,4.006926497,
Avahi_ramanantsoavani_ott6145314,Avahi_ramanantsoavani,Ramanantsoavana's woolly lemur,Strepsirrhini,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.01681626,0.009136588,0.901566119,4.137433011,22.39145217,0,1.86061029,0.38578036,16.69192182,0.995057881,4.143147602,
Avahi_unicolor_ott132960,Avahi_unicolor,Sambirano woolly lemur,Strepsirrhini,0,0,26.323877,0.016681449,0.922584772,4.045867364,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.323877,0.016681449,0.922584772,4.045867364,23,0,0.907900735,0.091841454,16.6831089,0.999880863,4.010224829,
Brachyteles_arachnoides_ott1058645,Brachyteles_arachnoides,Southern muriqui,Platyrrhini,0,0,25.1909788,0.00884753,0.615246468,3.572880698,65,0,12.3,5.4,33,0.33,15,Multi-male-multi-female,Egalitarian,Polygynandrous,Maternal,25.1909788,0.00884753,0.615246468,3.572880698,65,0,12.3,5.4,33,0.33,15,
Brachyteles_hypoxanthus_ott574171,Brachyteles_hypoxanthus,Northern muriqui,Platyrrhini,0,0,25.903685,0.005958798,0.398349466,2.431047114,64,0,9.43,0.35,30,0.33,48,Multi-male-multi-female,Egalitarian,Polygynandrous,Maternal,25.903685,0.005958798,0.398349466,2.431047114,64,0,9.43,0.35,30,0.33,48,
Cacajao_ayresi_ott6557,Cacajao_ayresi,Araca uakari,Platyrrhini,0,0,26.8581406,0.003402259,0.784931302,5.241094942,48,0,NA,NA,13,NA,NA,NA,NA,NA,Maternal,26.8581406,0.003402259,0.784931302,5.241094942,48,0,3.413888465,1.078798497,13,0.97859539,63.29836471,
Cacajao_calvus_ott1058649,Cacajao_calvus,Bald uakari,Platyrrhini,0,0,26.1382614,0.009630176,0.90631514,5.148501515,51,0,3.25,0.5,20,1,NA,Monogamous pairs,Dominant pair,Monogamous,Maternal,26.1382614,0.009630176,0.90631514,5.148501515,51,0,3.25,0.5,20,1,58.19345884,
Cacajao_hosomi_ott6559,Cacajao_hosomi,Neblina uakari,Platyrrhini,0,0,25.2905294,0.006172816,0.817745713,5.60498102,55,0,3.8,1.4,18,NA,65,Fission-fusion,NA,Polygynandrous,Maternal,25.2905294,0.006172816,0.817745713,5.60498102,55,0,3.8,1.4,18,0.996023055,65,
Cacajao_melanocephalus_ott1022358,Cacajao_melanocephalus,Golden-backed uakari,Platyrrhini,0,0,25.5523981,0.00716092,0.840949227,5.416394763,66,0,3.1,1.2,20,NA,65,Fission-fusion,NA,Polygynandrous,Maternal,25.5523981,0.00716092,0.840949227,5.416394763,66,0,3.1,1.2,20,1.006329009,65,
Callicebus_barbarabrownae_ott3607590,Callicebus_barbarabrownae,Barbara Brown's titi monkey,Platyrrhini,0,0,25.9264265,0.002381978,0.548410895,2.76470772,56,0,NA,NA,12,1,4,Monogamous pairs,Dominant pair,Monogamous,Paternal,25.9264265,0.002381978,0.548410895,2.76470772,56,0,1.040050723,0.09880772,12,1,4,
Callicebus_caquetensis_ott5925586,Callicebus_caquetensis,Caqueta titi monkey,Platyrrhini,0,0,25.8357178,0.013694723,0.803339213,4.49952956,55,0,0.8,0,NA,1,6,Monogamous pairs,Dominant pair,Monogamous,Paternal,25.8357178,0.013694723,0.803339213,4.49952956,55,0,0.8,0,16.11664124,1,6,
Callicebus_coimbrai_ott210726,Callicebus_coimbrai,Coimbra Filho's titi monkey,Platyrrhini,0,0,27.2332758,0.00124952,0.577754492,2.354825911,51,0,1,0,20,1,5,Monogamous pairs,Dominant pair,Monogamous,Paternal,27.2332758,0.00124952,0.577754492,2.354825911,51,0,1,0,20,1,5,
Callicebus_discolor_ott3607578,Callicebus_discolor,White-tailed titi monkey,Platyrrhini,0,0,24.6768384,0.011254323,0.899666415,4.675411034,78,0,0.95,0.5,12,1,7,Monogamous pairs,Dominant pair,Monogamous,Paternal,24.6768384,0.011254323,0.899666415,4.675411034,78,0,0.95,0.5,12,1,7,
Callicebus_dubius_ott3607587,Callicebus_dubius,Hershkovitz's titi monkey,Platyrrhini,0,0,25.4280334,0.010591757,0.929762973,4.618558832,62,0,NA,NA,NA,1,6,Monogamous pairs,Dominant pair,Monogamous,Paternal,25.4280334,0.010591757,0.929762973,4.618558832,62,0,1.177445869,0.228527886,16.12308499,1,6,
Callicebus_melanochir_ott3607582,Callicebus_melanochir,Coastal black-handed titi monkey,Platyrrhini,0,0,25.9076458,0.001378164,0.501217064,2.859275003,61,0,1.6,0,NA,1,5,Monogamous pairs,Dominant pair,Monogamous,Paternal,25.9076458,0.001378164,0.501217064,2.859275003,61,0,1.6,0,16.12250536,1,5,
Callicebus_nigrifrons_ott210741,Callicebus_nigrifrons,Black-fronted titi monkey,Platyrrhini,0,0,25.5110913,0.007990913,0.53281874,2.442391282,68,0,1.5,1,20,1,6,Monogamous pairs,Dominant pair,Monogamous,Paternal,25.5110913,0.007990913,0.53281874,2.442391282,68,0,1.5,1,20,1,6,
Callicebus_ornatus_ott3607575,Callicebus_ornatus,Ornate titi monkey,Platyrrhini,0,0,26.9156392,0.003223707,0.750880748,4.158948325,73,0,1.17,0,NA,1,6,Monogamous pairs,Dominant pair,Monogamous,Paternal,26.9156392,0.003223707,0.750880748,4.158948325,73,0,1.17,0,16.1193534,1,6,
Callimico_goeldii_ott489230,Callimico_goeldii,Goeldi's monkey,Platyrrhini,0,0,25.043492,0.010624173,0.913235632,4.755433606,81,0,0.48,0.24,10,1,7,Monogamous pairs,Dominant pair,Monogamous,Paternal,25.043492,0.010624173,0.913235632,4.755433606,81,0,0.48,0.24,10,1,7,
Callithrix_aurita_ott341886,Callithrix_aurita,Buffy-tufted marmoset,Platyrrhini,0,0,25.2485406,0.007785161,0.483019329,2.692759146,64,0,0.3,0,12,1,10,Multi-male-multi-female,Dominant pair,Monogamous,Allo-parenting,25.2485406,0.007785161,0.483019329,2.692759146,64,0,0.3,0,12,1,10,
Callithrix_flaviceps_ott3607562,Callithrix_flaviceps,Buffy-headed marmoset,Platyrrhini,0,0,25.4141671,0.004987186,0.401094297,2.31753594,59,0,0.43,0.05,10,1,12,Multi-male-multi-female,Dominant pair,Monogamous,Allo-parenting,25.4141671,0.004987186,0.401094297,2.31753594,59,0,0.43,0.05,10,1,12,
Callithrix_geoffroyi_ott683989,Callithrix_geoffroyi,White-headed marmoset,Platyrrhini,0,0,26.4599572,0.002171052,0.39720013,2.589988558,64,0,0.32,0.13,10,1,13,Multi-male-multi-female,Dominant pair,Monogamous,Allo-parenting,26.4599572,0.002171052,0.39720013,2.589988558,64,0,0.32,0.13,10,1,13,
Callithrix_humeralifer_ott7655105,Callithrix_humeralifer,Santarem marmoset,Platyrrhini,0,0,NA,NA,NA,NA,54,0,0.3,0.03,10,1,8,Monogamous pairs,Dominant pair,Monogamous,Allo-parenting,25.95125043,0.009719961,0.742831869,3.677235813,54,0,0.3,0.03,10,1,8,
Callithrix_humilis_ott298261,Callithrix_humilis,Roosmalen's dwarf marmoset,Platyrrhini,0,0,25.4626323,0.013974977,0.941934501,4.641744349,73,0,0.17,0.04,7,1,5,Monogamous pairs,Dominant pair,Monogamous,Allo-parenting,25.4626323,0.013974977,0.941934501,4.641744349,73,0,0.17,0.04,7,1,5,
Callithrix_jacchus_ott1015223,Callithrix_jacchus,Common marmoset,Platyrrhini,1,1.25,27.1334679,0.006309631,0.704046881,2.025000899,59,0,0.25,0.02,7,1,10,Monogamous pairs,Dominant pair,Monogamous,Allo-parenting,27.1334679,0.006309631,0.704046881,2.025000899,59,0,0.25,0.02,7,1,10,
Callithrix_kuhlii_ott947308,Callithrix_kuhlii,Wied's marmoset,Platyrrhini,0,0,25.4740589,0.001313346,0.516833528,2.937774967,77,0,0.35,1,16,1,8,Multi-male-multi-female,Matriarchal,Polyandrous,Allo-parenting,25.4740589,0.001313346,0.516833528,2.937774967,77,0,0.35,1,16,1,8,
Callithrix_penicillata_ott341908,Callithrix_penicillata,Black-tufted marmoset,Platyrrhini,1,1,26.1631134,0.006684695,0.559071398,2.226376895,78,0,0.45,0,10,1,8,Monogamous pairs,Dominant pair,Monogamous,Allo-parenting,26.1631134,0.006684695,0.559071398,2.226376895,78,0,0.45,0,10,1,8,
Callithrix_pygmaea_ott489225,Callithrix_pygmaea,Pygmy marmoset,Platyrrhini,0,0,25.1790526,0.009945384,0.868844263,5.243766934,57,0,0.12,0.05,12,1,5,Monogamous pairs,Dominant pair,Monogamous,Allo-parenting,25.1790526,0.009945384,0.868844263,5.243766934,57,0,0.12,0.05,12,1,5,
Carlito_syrichta_ott339031,Carlito_syrichta,Philippine tarsier,Platyrrhini,0,0,26.0673479,0.001304572,0.748941539,3.306455752,10,1,0.12,0.02,12,1,4,Monogamous pairs,Dominant pair,Monogamous,Maternal,26.0673479,0.001304572,0.748941539,3.306455752,10,1,0.12,0.02,12,1,4,
Cebuella_niveiventris_ott7655107,Cebuella_niveiventris,Eastern pygmy marmoset,Platyrrhini,0,0,25.44617075,0.010253544,0.923257222,4.705487149,67,0,0.13,0.03,12,1,5,Monogamous pairs,Dominant pair,Monogamous,Allo-parenting,25.44617075,0.010253544,0.923257222,4.705487149,67,0,0.13,0.03,12,1,5,
Cebus_aequatorialis_ott6145179,Cebus_aequatorialis,Ecuadorian capuchin,Platyrrhini,0,0,24.9810145,0.013900709,0.856152166,2.617198247,67,1,3.15,0.5,40,1,13,Multi-male-multi-female,Patriarchal,Polygynous,Maternal,24.9810145,0.013900709,0.856152166,2.617198247,67,1,3.15,0.5,40,1,13,
Cebus_albifrons_ott197032,Cebus_albifrons,White-fronted capuchin,Platyrrhini,1,2,26.1771251,0.00387373,0.742871752,5.653581242,72,1,2.35,1.9,25,0.33,20,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,26.1771251,0.00387373,0.742871752,5.653581242,72,1,2.35,1.9,25,0.33,20,
Cebus_brunneus_ott6145181,Cebus_brunneus,Brown weeper capuchin,Platyrrhini,0,0,24.2153105,0.000506202,0.404748088,3.762731779,70,1,3.5,0,25,1,10,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,24.2153105,0.000506202,0.404748088,3.762731779,70,1,3.5,0,25,1,10,
Cebus_capucinus_ott217252,Cebus_capucinus,Colombian white-faced capuchin,Platyrrhini,1,5.67,25.9277554,0.007066522,0.672570365,4.101258489,47,1,3.9,0,30,1,15,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,25.9277554,0.007066522,0.672570365,4.101258489,47,1,3.9,0,30,1,15,
Cebus_cesarae_ott6145182,Cebus_cesarae,Rio Cesar white-fronted capuchin,Platyrrhini,0,0,25.9962566,0.000554005,0.26225682,4.417622624,69,1,NA,NA,NA,NA,25,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,25.9962566,0.000554005,0.26225682,4.417622624,69,1,2.953242239,0.689517959,30.78264111,0.814352306,25,
Cebus_cuscinus_ott6145183,Cebus_cuscinus,Shock-headed capuchin,Platyrrhini,0,0,18.55103,0.014320257,0.941838689,4.067863822,86,1,1.9,1,30,NA,20,Multi-male-multi-female,Patriarchal,Polygynandrous,Allo-parenting,18.55103,0.014320257,0.941838689,4.067863822,86,1,1.9,1,30,0.813707177,20,
Cebus_imitator_ott6145184,Cebus_imitator,Panamaniam white-faced capuchin,Platyrrhini,1,2,23.3286058,0.001309929,0.460569365,5.040738427,88,1,2.8,1,30,0.7,15,Multi-male-multi-female,Patriarchal,Polygynous,Maternal,23.3286058,0.001309929,0.460569365,5.040738427,88,1,2.8,1,30,0.7,15,
Cebus_kaapori_ott913292,Cebus_kaapori,Kaapori capuchin,Platyrrhini,0,0,26.3577747,0.014652468,0.816550199,3.560087948,62,1,3,0,35,1,10,Multi-male-multi-female,NA,Polygynandrous,Maternal,26.3577747,0.014652468,0.816550199,3.560087948,62,1,3,0,35,1,10,
Cebus_leucocephalus_ott6145185,Cebus_leucocephalus,Sierra de Perija white-fronted capuchin,Platyrrhini,0,0,24.2804921,0.001514391,0.381571146,4.383201388,79,1,NA,NA,25,0.7,22,Multi-male-multi-female,NA,Polygynandrous,Maternal,24.2804921,0.001514391,0.381571146,4.383201388,79,1,3.019723762,0.582828648,25,0.7,22,
Cebus_malitiosus_ott6145186,Cebus_malitiosus,Santa Marta white-fronted capuchin,Platyrrhini,0,0,24.5711049,0.000669099,0.230854491,4.742931029,60,1,NA,NA,35,NA,25,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,24.5711049,0.000669099,0.230854491,4.742931029,60,1,3.058160652,0.811863619,35,0.830067448,25,
Cebus_olivaceus_ott913293,Cebus_olivaceus,Wedge-capped capuchin,Platyrrhini,1,2,25.9287243,0.001095679,0.559310529,4.164213982,84,1,3,0,35,0.5,17,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,25.9287243,0.001095679,0.559310529,4.164213982,84,1,3,0,35,0.5,17,
Cebus_unicolor_ott6145189,Cebus_unicolor,Spix's white-fronted capuchin,Platyrrhini,0,0,25.2977076,0.011709986,0.924509814,4.557190674,86,1,NA,NA,40,1,14,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,25.2977076,0.011709986,0.924509814,4.557190674,86,1,1.594624445,1.577999585,40,1,14,
Cebus_versicolor_ott6145190,Cebus_versicolor,Vared white-fronted capuchin,Platyrrhini,0,0,23.8437628,0.003345405,0.516823707,4.794883999,77,1,NA,NA,35,0.5,25,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,23.8437628,0.003345405,0.516823707,4.794883999,77,1,3.806256198,1.029047595,35,0.5,25,
